958 993
441 178 -985
470 189 730
89 865 786
340 682 75
892 552 381
622 634 547
608 60 696
692 812 864
711 394 -312
667 457 412
83 704 346
567 505 -517
146 291 35
411 660 216
95 573 117
360 268 -993
940 749 958
137 45 14
35 868 629
705 700 77
174 602 536
337 634 806
390 80 -611
421 605 334
110 466 715
509 340 150
127 188 201
789 234 836
533 796 -507
76 618 430
336 332 476
26 66 560
708 449 -34
839 557 -919
616 489 620
747 209 613
545 157 620
429 788 506
471 254 -75
39 696 464
51 559 -484
380 737 -74
727 123 -387
187 794 -10
29 229 -974
618 709 -133
106 70 225
846 63 975
377 842 942
23 280 -887
729 276 -707
827 599 401
881 714 55
215 256 -312
870 539 -820
313 434 691
108 728 -711
224 400 -442
257 812 -679
194 536 792
946 606 987
712 167 -554
600 885 593
331 76 830
825 78 -851
397 824 -315
222 227 -965
174 619 -694
332 254 465
765 834 -309
212 97 538
745 738 68
112 201 508
689 262 511
687 203 -157
921 59 -52
908 179 138
413 727 -244
621 717 529
801 397 128
421 328 615
682 825 673
3 35 378
122 571 254
269 530 -907
899 274 252
129 475 -628
38 17 -133
399 461 239
833 493 942
418 479 -56
643 898 -695
923 229 -807
414 836 -452
938 55 608
232 748 885
913 440 775
52 554 804
96 408 -114
852 909 -120
863 590 555
125 136 60
447 254 -133
323 711 -842
899 590 559
591 652 -736
199 97 857
67 500 324
542 754 744
357 763 -850
608 96 475
726 909 21
894 297 -336
241 778 -357
886 670 107
591 721 -185
401 299 351
148 642 506
627 348 -456
206 775 679
114 338 436
636 814 87
471 380 392
146 909 519
271 836 850
253 38 -316
878 939 -894
199 13 343
498 950 712
194 659 705
227 137 359
459 821 588
228 876 -151
548 24 511
559 826 495
288 958 989
646 597 864
15 349 627
235 158 -195
769 178 849
165 194 -856
948 160 -769
833 370 722
264 211 -710
835 442 961
673 485 -707
725 398 -931
769 547 -483
690 417 -733
30 512 -391
748 104 -642
500 332 3
25 424 -29
111 6 -578
818 247 859
771 409 102
675 167 589
215 449 420
874 699 204
87 276 748
382 628 -549
40 683 756
12 45 -456
426 415 -500
581 69 52
814 644 940
755 188 946
154 352 956
