19
957 1951
616 640 138
46 650 845
522 479 792
695 201 18
305 784 258
497 801 593
123 599 358
172 259 365
378 340 112
700 99 812
502 567 543
479 714 929
399 415 869
944 403 811
288 876 517
569 831 889
171 568 537
403 112 352
748 908 510
609 111 554
352 97 499
351 204 395
283 645 946
890 674 100
867 799 307
686 557 34
490 94 198
453 248 230
725 322 777
660 585 347
797 794 989
272 259 731
499 260 171
110 471 82
505 309 545
420 731 621
416 647 148
685 286 808
125 119 12
11 177 176
401 282 910
356 803 985
877 239 547
874 149 403
461 480 609
851 154 371
666 47 671
204 126 217
886 210 565
141 749 573
789 779 390
512 929 264
33 303 799
691 941 184
236 67 493
892 56 757
713 135 430
811 447 497
942 203 323
41 137 716
500 192 114
289 169 606
879 550 409
127 272 19
706 97 215
736 74 269
822 807 349
767 608 643
55 192 258
36 939 857
677 831 125
321 593 710
414 68 397
124 4 14
66 362 771
301 105 955
932 849 241
381 824 213
643 86 720
189 281 728
695 142 555
194 581 923
668 265 293
558 549 626
351 611 82
346 534 515
872 617 28
572 88 840
393 530 105
628 396 814
24 67 919
387 816 907
797 454 709
58 916 824
419 650 966
700 779 76
682 888 861
19 461 447
546 708 930
948 872 842
361 756 759
123 427 609
481 465 311
644 71 206
235 34 642
530 376 611
847 291 226
149 230 261
941 856 821
738 180 557
629 846 952
446 100 158
945 747 694
630 648 141
135 343 59
867 878 30
761 572 440
548 756 750
426 191 830
225 202 338
533 862 17
103 384 357
599 729 916
836 338 27
399 135 465
729 853 920
446 473 433
696 861 139
171 820 231
375 480 661
337 895 790
21 821 178
932 329 340
263 620 130
940 515 759
935 215 489
361 451 504
642 217 344
330 524 632
246 242 655
84 817 667
199 447 369
655 29 604
483 251 650
743 647 528
701 743 649
201 914 24
434 536 675
746 192 780
128 106 945
875 295 579
780 752 487
598 138 837
682 630 543
224 906 355
832 315 565
520 572 839
404 110 266
876 821 197
134 152 196
569 525 43
936 811 103
710 145 435
847 226 918
437 256 856
433 533 833
31 518 488
