817 2789
376 673 914
500 390 171
720 781 349
793 727 494
380 549 561
308 813 856
84 520 157
518 87 165
209 567 398
164 87 606
202 351 91
188 321 525
604 732 823
289 592 828
294 696 771
496 298 488
167 44 727
571 670 556
757 212 90
698 715 339
121 348 712
792 736 603
505 171 764
753 669 140
384 387 790
272 786 227
2 348 862
503 649 55
196 771 32
395 722 63
197 87 613
36 275 427
417 20 955
581 801 949
766 294 374
432 402 186
373 377 411
153 700 789
117 701 315
633 420 735
780 600 659
810 266 316
138 310 434
276 571 837
569 539 989
269 415 966
608 364 83
777 572 745
357 274 907
350 729 994
621 243 399
607 190 719
53 705 25
519 584 588
294 761 374
712 698 962
509 191 1000
767 131 480
16 792 380
523 173 41
315 485 99
109 596 629
474 127 796
260 186 223
257 617 118
452 125 461
588 248 255
663 24 423
540 703 74
470 65 247
371 752 306
645 303 706
446 620 263
479 362 975
214 548 498
363 193 953
782 428 49
657 726 240
114 620 72
395 650 189
789 328 552
508 758 196
584 655 64
687 672 625
796 234 991
493 669 176
170 742 839
455 761 821
166 237 14
772 479 287
612 225 519
10 301 848
701 78 801
357 6 159
283 455 176
595 751 166
515 483 225
567 798 12
169 219 555
480 109 391
615 808 506
644 103 922
116 265 805
293 542 174
133 659 414
727 594 569
737 482 537
101 455 866
745 609 714
742 265 288
706 817 567
312 53 532
806 105 446
759 139 451
45 502 380
468 4 500
646 162 686
188 367 357
809 165 641
306 466 861
446 478 899
816 281 774
795 329 941
437 680 529
310 521 583
444 50 142
149 95 502
740 170 192
237 214 91
190 800 19
653 281 796
7 513 380
331 455 305
68 750 579
659 413 650
234 281 262
764 64 52
804 226 770
544 72 702
604 141 888
711 605 569
629 559 538
795 94 322
339 240 475
323 537 317
343 732 942
328 241 982
414 69 740
673 660 926
146 278 489
612 790 413
763 718 830
32 423 456
205 757 633
563 510 338
586 79 987
462 573 950
322 170 828
391 556 262
807 482 954
815 788 555
674 706 153
169 526 306
777 536 966
220 370 961
20 590 648
699 611 414
271 136 828
161 604 593
552 806 381
414 232 390
315 494 209
244 168 5
208 714 834
21 300 18
169 163 242
783 176 287
431 570 316
399 324 912
772 716 660
46 766 362
346 649 241
398 443 227
226 699 157
366 51 318
362 522 424
772 264 323
634 291 345
369 152 681
563 321 614
572 332 88
616 686 757
594 278 824
689 796 619
481 538 943
326 367 285
9 145 911
425 292 69
146 55 649
243 572 164
386 568 702
137 581 524
254 358 419
226 498 316
228 579 579
249 215 447
644 786 710
70 767 428
309 681 114
47 687 152
686 516 50
552 742 122
204 629 138
105 204 195
20 688 323
52 275 8
707 114 97
441 233 280
493 423 257
6 638 675
328 342 82
327 604 289
392 284 639
47 769 481
329 814 389
104 66 477
259 634 718
397 718 290
394 773 443
739 391 354
150 123 382
55 679 218
259 339 802
475 654 411
455 179 921
805 579 170
44 36 806
663 706 197
184 110 927
346 116 755
391 554 760
654 219 333
617 712 553
594 672 764
620 797 335
278 107 134
622 736 672
14 567 572
76 584 421
596 499 159
703 748 24
685 424 426
228 563 85
698 163 743
540 185 274
773 164 715
753 186 170
626 675 829
432 808 892
240 42 961
530 572 298
162 28 264
722 467 540
791 131 307
37 56 354
192 129 555
705 203 325
801 468 961
196 757 918
1 88 895
232 369 288
599 145 748
813 605 260
808 592 414
354 128 994
436 332 1
84 94 942
622 296 19
577 554 767
50 598 913
455 34 634
189 243 27
220 39 501
163 294 344
19 470 883
198 148 798
727 765 183
628 568 669
242 418 902
645 87 884
584 537 992
220 570 469
69 161 226
699 207 43
709 743 19
398 675 554
295 160 157
340 699 312
627 693 135
89 368 651
366 187 744
655 547 274
538 518 147
181 173 691
271 317 294
472 262 461
721 208 206
135 626 533
522 551 866
4 295 636
168 378 291
582 351 796
344 787 157
604 282 641
72 687 491
605 508 926
245 388 216
467 221 228
806 790 829
145 749 696
3 155 233
781 242 884
772 434 206
769 610 216
325 701 174
327 471 124
628 689 184
454 769 555
109 759 728
369 649 569
136 157 589
488 762 55
