17
893 920
563 537 -512
67 3 -161
612 495 -293
320 384 328
499 324 -624
889 765 -74
49 289 -178
567 379 203
258 244 917
243 413 376
204 221 -175
559 649 276
459 141 616
800 439 -905
116 715 -231
585 171 313
785 296 -393
632 889 343
830 297 688
819 527 12
821 824 -986
110 144 386
253 599 -726
518 698 897
427 295 881
215 796 -207
709 361 -683
653 296 -96
394 219 673
365 111 747
882 669 -469
891 297 -527
455 182 143
230 249 73
824 744 -673
861 755 793
853 722 -371
741 133 -74
402 421 548
552 359 501
285 529 181
800 40 340
749 82 -252
334 766 -663
269 875 -946
535 859 450
685 698 -223
516 462 -109
682 877 795
488 706 517
472 706 -72
589 859 -177
529 53 586
356 74 -436
279 152 -614
519 338 -702
459 376 275
884 690 -225
855 101 678
563 153 -753
287 839 -730
700 268 866
64 857 836
51 753 -462
519 503 -245
187 560 -58
644 432 -274
704 651 -406
694 863 -309
439 133 -424
117 600 446
167 868 -405
88 860 -239
873 175 579
40 308 -116
656 18 495
247 240 101
322 637 757
17 321 -825
820 702 -483
31 122 898
68 344 -504
236 839 768
662 305 -238
579 467 407
43 175 817
773 615 -995
685 781 49
843 370 -67
842 112 11
833 156 670
192 213 854
104 320 192
513 856 -652
892 368 -144
712 818 675
608 854 932
200 554 487
409 354 821
553 547 643
151 29 473
169 327 194
224 49 -185
29 197 -577
319 352 -740
195 126 -811
426 562 554
211 760 184
857 280 -859
527 560 -390
671 471 -46
246 704 -573
696 783 607
619 823 -792
131 402 687
51 242 848
264 104 -432
593 286 -902
88 56 -197
414 358 155
184 298 927
440 638 -935
494 320 282
68 367 104
676 198 350
408 356 208
146 77 403
696 121 -992
214 37 525
218 837 -810
888 72 -699
569 832 -549
449 363 216
805 280 -901
725 496 -230
305 669 372
266 472 -196
785 63 -21
259 730 -868
689 452 -77
490 333 106
493 809 -850
45 91 401
735 886 -53
445 599 -871
598 634 -301
263 83 -802
274 58 -555
187 89 11
236 878 303
669 465 194
170 589 321
863 137 -974
3 576 319
423 750 385
879 51 -24
758 48 -892
77 189 -314
160 570 -846
216 398 102
546 393 240
351 759 -518
381 696 -860
22 169 -917
864 647 -967
246 94 509
78 221 -421
565 751 -69
727 587 615
450 529 7
529 542 -684
848 661 -590
454 653 -454
180 382 968
835 218 -254
78 351 -989
615 260 672
808 618 -771
570 757 192
249 414 779
501 82 -134
729 27 -405
622 273 -653
862 427 -909
524 776 -791
497 88 -223
873 679 873
613 520 -533
197 279 -512
492 160 653
569 470 -881
558 821 -513
93 764 869
555 452 -878
508 48 -824
701 115 -588
23 795 965
389 607 773
141 461 -305
366 97 837
555 738 537
633 206 658
829 22 -996
571 728 683
889 43 -473
711 403 515
746 509 313
579 780 -227
723 14 526
27 774 -166
337 857 -470
57 858 -426
369 339 -2
217 707 -246
847 658 -230
789 613 -165
769 664 668
627 692 604
317 515 -108
759 653 265
76 86 973
779 325 -476
663 424 395
306 66 614
358 15 150
642 215 648
550 841 158
72 476 -422
760 226 -407
598 600 565
830 714 -34
708 154 -787
255 639 -218
874 769 824
40 420 320
858 315 -778
754 501 357
732 151 270
459 769 366
569 364 638
574 34 72
725 206 310
733 257 289
403 446 -593
451 662 -363
18 47 -807
98 264 -622
446 365 -496
835 55 668
522 287 944
147 586 -391
154 300 696
254 773 -666
3 846 787
837 492 216
468 801 -637
749 591 -806
782 529 -527
70 788 -923
298 842 771
326 513 -834
444 879 -585
531 45 761
270 168 551
653 705 -520
429 819 -30
492 471 -640
139 203 -304
350 208 921
232 454 296
183 352 -985
145 6 -347
841 826 -863
372 538 233
671 813 390
725 101 -732
545 755 901
607 364 593
533 805 -619
436 703 -240
679 849 -892
647 100 -415
316 734 22
515 197 70
654 844 129
709 699 -125
81 651 -743
151 121 727
48 783 -541
741 117 232
591 768 -60
204 700 -143
643 512 693
468 859 383
730 240 -710
344 668 -913
41 873 -992
856 648 389
875 745 -687
680 245 625
519 571 137
52 254 -422
886 40 635
413 56 -325
183 442 528
414 344 -38
483 683 -970
31 375 124
743 835 233
295 552 -842
355 607 -274
34 160 -942
300 158 140
408 112 -85
694 232 -77
243 166 294
85 458 -705
252 425 -955
310 134 -499
63 633 -906
383 510 -7
566 867 15
54 607 266
522 611 727
211 288 412
800 492 636
879 225 -119
227 551 -904
597 237 -83
187 36 -923
564 353 -77
69 564 423
844 34 -434
84 223 16
240 614 -78
300 481 490
101 16 -110
206 189 505
25 624 -52
590 335 111
360 666 153
227 865 308
519 485 754
131 228 -536
299 501 856
537 780 -956
347 272 409
248 15 606
4 664 -179
332 681 267
146 420 382
609 341 -829
553 362 -717
461 300 -129
395 871 994
541 67 317
140 263 -770
510 728 818
588 604 -362
186 260 -963
465 778 431
652 500 966
78 321 -998
863 625 -109
413 733 787
105 796 663
477 90 4
431 271 526
302 746 -949
443 508 -891
679 767 -102
126 272 311
633 516 -510
215 59 -338
587 828 -691
349 511 649
581 594 -342
305 800 -478
433 758 24
63 38 217
123 713 829
178 421 -541
802 371 -532
244 28 848
187 679 -328
245 224 313
334 121 300
53 24 -603
862 244 -393
421 109 46
122 234 997
99 724 865
806 815 488
603 717 -453
664 218 54
222 472 175
195 583 411
343 816 873
483 559 94
447 600 82
545 332 878
532 216 612
343 667 -264
359 560 -994
410 13 970
361 266 495
86 502 734
458 302 -604
771 181 -894
391 322 -602
523 893 -322
223 441 653
438 316 663
521 437 -164
525 828 -974
815 159 685
44 413 -975
600 129 634
451 753 721
536 154 -303
522 617 -696
365 473 -159
126 772 949
16 434 135
204 477 -996
61 775 429
373 751 159
177 384 899
766 553 -594
521 164 948
278 576 409
414 71 -557
891 1 761
521 829 -744
704 107 -562
392 865 -397
500 380 6
399 75 421
770 865 -694
195 518 653
448 443 242
297 722 -987
721 169 -37
450 82 -637
338 117 -507
227 388 -108
735 35 -418
744 465 533
613 367 891
35 297 -844
85 119 -825
65 522 -437
423 555 867
744 419 959
17 232 -512
257 543 602
183 293 295
778 515 -181
187 595 -795
164 75 788
89 499 919
637 29 994
492 775 -8
676 290 -228
828 709 -694
203 313 -689
120 325 986
92 527 823
93 596 313
497 856 -973
848 625 -33
529 207 -529
486 670 -48
283 480 -734
862 568 -207
306 535 199
383 618 632
840 167 -816
565 793 -505
201 884 438
272 412 260
181 671 -279
577 48 -74
560 642 -605
136 267 651
548 309 -563
631 245 19
172 393 -527
676 68 -835
408 368 -977
478 330 420
28 842 -93
392 767 30
439 2 277
26 557 329
718 334 -454
340 599 -182
126 533 884
436 424 -190
616 538 -634
681 882 -135
668 792 -337
622 873 153
820 596 622
810 549 -156
751 141 -156
425 313 -483
126 872 905
503 175 -300
175 383 -454
94 740 47
227 213 -725
625 430 331
425 248 529
219 39 -769
669 451 -702
327 250 -267
545 884 -787
625 350 782
85 681 -779
155 691 -929
523 11 997
138 147 -506
218 94 110
171 52 -981
276 85 270
262 704 669
595 466 -751
617 350 -828
829 851 676
6 354 -561
310 213 971
724 739 -177
150 500 893
420 724 -102
417 84 -329
62 208 999
236 602 -719
79 338 -785
702 546 799
757 617 216
240 39 402
521 178 -861
446 852 875
233 614 -945
758 537 -206
743 198 -147
748 664 -148
632 731 81
108 552 -271
269 166 584
414 282 -302
720 143 -756
96 712 -880
262 232 -596
45 169 604
825 168 -963
889 589 -569
228 297 -70
56 749 -605
758 184 -692
85 375 342
779 7 -275
163 438 238
494 404 221
684 317 165
516 225 966
677 164 720
400 249 638
234 156 -363
836 491 -505
660 193 162
394 403 -167
602 250 496
481 245 -737
593 774 325
471 497 -699
449 545 -412
863 750 -290
441 424 913
140 726 585
659 851 910
286 435 729
888 554 -359
112 251 -971
130 218 884
563 157 -621
414 638 441
277 250 -578
679 26 -143
497 625 -787
429 98 -874
435 664 718
424 769 -97
763 810 -46
857 571 -797
119 325 -884
550 341 -919
224 844 -835
892 180 923
548 461 441
372 611 -483
562 882 147
221 696 210
4 242 -820
646 854 875
343 758 -780
496 814 -90
447 438 -668
439 521 -450
133 539 667
139 759 634
261 840 512
314 424 343
605 187 344
555 272 -768
53 227 995
38 628 634
382 668 67
90 275 -25
401 157 -490
760 524 374
375 731 -71
449 698 -549
177 221 220
760 389 -358
44 625 -970
654 767 -92
280 670 821
191 595 506
375 175 492
717 594 761
795 790 396
602 695 994
291 780 281
578 710 955
552 535 775
182 144 470
732 613 334
370 72 -440
427 414 552
617 34 635
728 755 -760
139 781 -844
272 393 -548
467 560 417
761 170 -928
757 540 -244
112 884 537
544 808 61
623 706 262
446 368 118
391 1 -779
600 8 958
877 409 307
219 174 245
504 458 911
695 212 -411
40 756 631
274 192 -746
454 722 517
830 689 -997
118 887 620
18 803 -5
881 846 -310
18 228 -532
386 259 736
571 318 -180
604 810 -684
636 61 891
862 499 717
409 801 -283
182 673 408
290 736 -90
802 710 -592
867 134 408
192 846 740
463 123 448
355 456 -632
338 358 496
348 163 -400
761 28 -336
355 730 942
674 487 79
770 259 -91
765 65 -701
470 528 -42
160 518 -391
278 67 -637
239 146 284
779 454 -18
624 56 -31
178 626 -241
165 421 -533
277 629 106
741 560 990
158 678 641
572 107 724
48 339 964
510 656 868
47 656 -372
281 355 656
488 833 118
837 462 -798
126 610 -865
600 247 931
807 163 -578
811 692 -938
292 301 981
614 693 380
84 544 -986
250 65 -422
521 833 994
109 694 608
868 492 963
759 704 -629
187 111 786
883 151 -27
82 479 -121
691 714 -129
190 89 397
15 65 733
36 537 -575
356 283 117
512 758 797
867 71 -656
201 525 -767
146 294 254
259 870 -4
814 52 417
136 763 592
415 282 233
286 6 429
829 442 -636
233 551 -112
395 658 80
441 262 306
296 639 166
739 197 936
46 810 -619
135 235 892
519 393 868
472 420 717
685 358 -383
42 343 362
108 891 -43
338 779 -92
735 729 512
149 416 -993
487 777 771
638 594 705
835 283 -141
683 655 228
82 535 -201
385 790 -470
51 320 802
783 868 516
868 771 -83
130 485 -188
16 182 -34
144 223 517
390 312 -703
531 198 -485
737 113 -69
247 203 -446
486 474 691
291 320 -54
669 643 -512
281 81 729
537 85 27
641 233 808
676 537 -901
683 874 -808
435 147 247
689 168 111
344 86 -233
815 630 771
374 15 524
592 837 803
321 272 638
160 526 -34
336 220 -175
748 77 -601
375 398 743
876 428 -507
494 510 503
677 815 401
490 135 -828
360 420 664
778 841 142
23 242 -503
581 208 384
